rank,company,job_title,source_url,page_status,is_2027,required_keywords,matched_keywords,missing_keywords,resume_match_score,relevance_score,final_score,recommendation,review_status,application_status
1,字节跳动,供给策略产品运营实习生-TikTok Shop,https://jobs.bytedance.com/campus/position/7660366669840566533/detail,reachable,unverified,数据分析、供应链、产品运营、策略、英语、沟通能力,数据分析、供应链、产品运营、策略、英语、沟通能力,,100.0,35,95.5,priority_review,pending,not_applied
2,字节跳动,AI数据开发实习生-国际支付,https://jobs.bytedance.com/campus/position/7661947218904041781/detail,reachable,unverified,Python、SQL、国际支付、英语,Python、SQL、英语,国际支付,75.0,20,73.5,manual_review,pending,not_applied
3,字节跳动,前端研发实习生-国际支付,https://jobs.bytedance.com/campus/position/7605194554154535173/detail,reachable,yes,国际支付,,国际支付,0.0,30,24.0,low_priority,pending,not_applied
4,字节跳动,前端研发实习生-国际支付,https://jobs.bytedance.com/campus/position/7605194510633912581/detail,reachable,yes,国际支付,,国际支付,0.0,30,24.0,low_priority,pending,not_applied
5,字节跳动,AI应用全栈开发实习生-剪映CapCut,https://jobs.bytedance.com/campus/position/7660867882851092789/detail,reachable,unverified,国际支付,,国际支付,0.0,20,21.0,low_priority,pending,not_applied
