company,job_title,raw_job_title,source_url,final_url,page_title,page_status,detail_length,is_2027,relevance_score,recommendation,error_message,verified_at,review_status
字节跳动,供给策略产品运营实习生-TikTok Shop,供给策略产品运营实习生-TikTok Shop 北京实习运营日常实习职位 ID：A176313 日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。 团队介绍：TikTok Shop 是 TikTok 旗下的内容电商。平台汇聚全球优质商家与创作者，通过短视频、直播等多场景连接消费者，让新奇好物畅销全球，让美好生活触手可得。目前团队分布在美国、英国、法国、印尼、墨西哥、中国等全球多个国家和地区，在这里你将有机会深入国际场景，面向全世界商家及用户，和跨区域团队协作，共同探索创新购物模式。期待和优秀的你一起创造更多可能！ 1、参与商品供给品类洞察、趋势洞察策略分析方案制定，参与平台供给丰富度评估； 2、对数据敏感，有数据处理和分析经验能力，能精准发现策略问题，并提出有效改进方案； 3、参与AI诊断分析报告、AI Agent对话式沟通等，AI相关的运营分析工作。,https://jobs.bytedance.com/campus/position/7660366669840566533/detail,https://jobs.bytedance.com/campus/position/7660366669840566533/detail,供给策略产品运营实习生-TikTok Shop - 字节跳动,reachable,884,unverified,35,manual_review,,2026-07-20T22:50:56,pending
字节跳动,前端研发实习生-国际支付,前端研发实习生-国际支付 上海实习研发 - 前端ByteIntern职位 ID：A54671A ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。 团队介绍：国际支付，立足于为字节跳动国际化业务提供专业的支付和金融服务，专注于全球支付产品线的质量和效率，确保为国际产品提供高度可靠和稳定的服务，建立国际支付产品和能力，同时在高效助力业务快速拓展的同时，打造行业领先的支付和金融产品能力。团队当前所提供的产品和服务，遍布全球多个国家和地区，团队拥有丰富的国际化产品研发经验；同时这里有全球超大规模的支付网络；覆盖多业务场景的海外钱包及金融产品解决方案；围绕分布式一致性、高并发、高可用、资金安全在内的核心技术能力攻坚；LLM等前沿AI技术在支付&金融服务中的探索、研发和应用。另外，我们在全球设立团队，团队同学背景多元，不同的思维方式，打造了一个多元、碰撞、融合、包容的工作环境。我们邀请你来此成长、专研，发掘无限的潜力，一起应对技术和业务以及跨国合作上的挑战，还有跨文化交流机会在等你！ 1、使用ReactJS及现代Web技术，开发、维护与重构高性能、可复用的前端应用及用户界面； 2、设计并搭建模块化、可扩展的组件体系与内部前端库，提升研发效率与交互一致性； 3、与后端工程师协作，完成前端界面与服务端逻辑、API及全球支付/金融系统的联调对接； 4、针对多设备、多地区场景，优化Web应用的性能、可访问性、响应式体验与扩展性； 5、与UI/UX设计师紧密配合，将设计方案落地为技术可行、体验优质的用户产品； 6、参与代码评审、工程规范建设，持续优化研发流程；探索并应用AI工具与技术，提升研发效率、代码质量与用户交互体验；协同产品、设计及跨职能工程团队，交付稳定、可靠、以用户为中心的产品。,https://jobs.bytedance.com/campus/position/7605194554154535173/detail,https://jobs.bytedance.com/campus/position/7605194554154535173/detail,前端研发实习生-国际支付 - 字节跳动,reachable,1386,yes,30,manual_review,,2026-07-20T22:51:03,pending
字节跳动,前端研发实习生-国际支付,前端研发实习生-国际支付 北京实习研发 - 前端ByteIntern职位 ID：A23731A ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。 团队介绍：国际支付，立足于为字节跳动国际化业务提供专业的支付和金融服务，专注于全球支付产品线的质量和效率，确保为国际产品提供高度可靠和稳定的服务，建立国际支付产品和能力，同时在高效助力业务快速拓展的同时，打造行业领先的支付和金融产品能力。团队当前所提供的产品和服务，遍布全球多个国家和地区，团队拥有丰富的国际化产品研发经验；同时这里有全球超大规模的支付网络；覆盖多业务场景的海外钱包及金融产品解决方案；围绕分布式一致性、高并发、高可用、资金安全在内的核心技术能力攻坚；LLM等前沿AI技术在支付&金融服务中的探索、研发和应用。另外，我们在全球设立团队，团队同学背景多元，不同的思维方式，打造了一个多元、碰撞、融合、包容的工作环境。我们邀请你来此成长、专研，发掘无限的潜力，一起应对技术和业务以及跨国合作上的挑战，还有跨文化交流机会在等你！ 1、使用ReactJS及现代Web技术，开发、维护与重构高性能、可复用的前端应用及用户界面； 2、设计并搭建模块化、可扩展的组件体系与内部前端库，提升研发效率与交互一致性； 3、与后端工程师协作，完成前端界面与服务端逻辑、API及全球支付/金融系统的联调对接； 4、针对多设备、多地区场景，优化Web应用的性能、可访问性、响应式体验与扩展性； 5、与UI/UX设计师紧密配合，将设计方案落地为技术可行、体验优质的用户产品； 6、参与代码评审、工程规范建设，持续优化研发流程；探索并应用AI工具与技术，提升研发效率、代码质量与用户交互体验；协同产品、设计及跨职能工程团队，交付稳定、可靠、以用户为中心的产品。,https://jobs.bytedance.com/campus/position/7605194510633912581/detail,https://jobs.bytedance.com/campus/position/7605194510633912581/detail,前端研发实习生-国际支付 - 字节跳动,reachable,1384,yes,30,manual_review,,2026-07-20T22:51:11,pending
字节跳动,AI数据开发实习生-国际支付,AI数据开发实习生-国际支付 上海实习研发 - 大数据日常实习职位 ID：A195324 日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。 团队介绍：国际支付，立足于为字节跳动国际化业务提供专业的支付和金融服务，专注于全球支付产品线的质量和效率，确保为国际产品提供高度可靠和稳定的服务，建立国际支付产品和能力，同时在高效助力业务快速拓展的同时，打造行业领先的支付和金融产品能力。团队当前所提供的产品和服务，遍布全球多个国家和地区，团队拥有丰富的国际化产品研发经验；同时这里有全球超大规模的支付网络；覆盖多业务场景的海外钱包及金融产品解决方案；围绕分布式一致性、高并发、高可用、资金安全在内的核心技术能力攻坚；LLM等前沿AI技术在支付&金融服务中的探索、研发和应用。另外，我们在全球设立团队，团队同学背景多元，不同的思维方式，打造了一个多元、碰撞、融合、包容的工作环境。我们邀请你来此成长、专研，发掘无限的潜力，一起应对技术和业务以及跨国合作上的挑战，还有跨文化交流机会在等你！ 1、参与字节跳动国际支付业务离线和实时数据仓库建设工作； 2、面向PB级数据问题，每天处理千亿增量的用户行为数据； 3、为大数据的全生命周期提供服务，覆盖数据产生、传输、建模、统计分析、实验评估、可视化的全流程； 4、构建设计良好的数据流、数据仓库，降低数据的使用门槛，保证系统稳定高效运行，以实现数据的最大价值； 5、参与大模型提效应用的建设，参与数据归因、数据取数Agent以及AB实验报告自动化的建设。,https://jobs.bytedance.com/campus/position/7661947218904041781/detail,https://jobs.bytedance.com/campus/position/7661947218904041781/detail,AI数据开发实习生-国际支付 - 字节跳动,reachable,1233,unverified,20,manual_review,,2026-07-20T22:51:17,pending
字节跳动,AI应用全栈开发实习生-剪映CapCut,AI应用全栈开发实习生-剪映CapCut 深圳实习研发 - 前端日常实习职位 ID：A142911 日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。 团队介绍：剪映研发团队，主要支持剪映、CapCut、醒图、Hypic、即梦、Dreamina、小云雀、Pippit等多款国内外产品的研发工作，业务覆盖多元化影像创作场景，并孵化了多款AIGC明星产品，相关产品多次登顶国内外App Store 免费应用榜第一，并继续保持高速增长。加入我们，一起打造全球最受用户欢迎的影像创作和GenAI产品。 1、负责剪映商业化方向的研发、优化与架构设计工作，基于新的创作场景与AIGC、大模型的结合点，实现创新功能； 2、负责剪映商业化方向的研发，如付费素材、广告、支付等，实现商业化收入的增长； 3、负责项目重点、难点的技术攻坚任务，持续优化产品，提升产品质量； 4、共同建设抖音、西瓜视频的视频内容创作生态，在行业之间建立技术壁垒。,https://jobs.bytedance.com/campus/position/7660867882851092789/detail,https://jobs.bytedance.com/campus/position/7660867882851092789/detail,AI应用全栈开发实习生-剪映CapCut - 字节跳动,reachable,992,unverified,20,manual_review,,2026-07-20T22:51:24,pending
